GAME_DATE,HOME,AWAY,Score,Odds1,Odds2,Results
2022-04-18,GSW ,DEN,126:106,1.34,3.45,1
2022-04-18,DAL ,UTA,110:104,2.77,1.48,1
2022-04-18,PHI ,TOR,112:97,1.33,3.52,1
2022-04-17,PHX ,NOP,110:99,1.2,4.9,1
2022-04-17,MIL ,CHI,93:86,1.18,5.13,1
2022-04-17,BOS ,BKN,115:114,1.56,2.54,1
2022-04-17,MIA ,ATL,115:91,1.36,3.31,1
2022-04-16,GSW ,DEN,123:107,1.39,3.16,1
2022-04-16,PHI ,TOR,131:111,1.53,2.64,1
2022-04-16,MEM ,MIN,117:130,1.4,3.13,0
2022-04-16,DAL ,UTA,93:99,2.88,1.45,0
2022-04-15,LAC ,NOP,101:105,2.04,1.83,0
2022-04-15,CLE ,ATL,101:107,2.15,1.76,0
2022-04-13,NOP ,SAS,113:103,1.48,2.78,1
2022-04-13,ATL ,CHA,132:103,1.47,2.82,1
2022-04-12,MIN ,LAC,109:104,1.66,2.31,1
2022-04-12,BKN ,CLE,115:108,1.22,4.69,1
2022-04-10,DAL ,SAS,130:120,1.18,5.17,1
2022-04-10,DEN ,LAL,141:146 ,1.42,3.03,0
2022-04-10,LAC ,OKC,138:88,1.14,6.14,1
2022-04-10,NOP ,GSW,107:128,3.23,1.37,0
2022-04-10,PHX ,SAC,109:116,1.19,5.16,0
2022-04-10,POR ,UTA,80:111,10.88,1.06,0
2022-04-10,MIN ,CHI,120:124,1.33,3.47,0
2022-04-10,MEM ,BOS,110:139,4.11,1.26,0
2022-04-10,NYK ,TOR,105:94,1.96,1.89,1
2022-04-10,ORL ,MIA,125:111,3.41,1.34,1
2022-04-10,PHI ,DET,118:106,1.37,3.24,1
2022-04-10,BKN ,IND,134:126,1.05,11.67,1
2022-04-10,CHA ,WAS,124:108,1.12,6.75,1
2022-04-10,CLE ,MIL,133:115,1.26,4.12,1
2022-04-10,HOU ,ATL,114:130,6.29,1.14,0
2022-04-09,LAC ,SAC,117:98,1.13,6.56,1
2022-04-09,SAS ,GSW,94:100,3.39,1.35,0
2022-04-09,MEM ,NOP,141:114,1.32,3.52,1
2022-04-09,PHI ,IND,133:120,1.08,8.69,1
2022-04-08,LAL ,OKC,120:101,1.42,2.98,1
2022-04-08,UTA ,PHX,105:111,1.67,2.3,0
2022-04-08,DAL ,POR,128:78,1.03,16.1,1
2022-04-08,CHI ,CHA,117:133,1.73,2.19,0
2022-04-08,MIA ,ATL,113:109,1.84,2.04,1
2022-04-08,BKN ,CLE,118:107,1.28,3.9,1
2022-04-08,TOR ,HOU,117:115,1.14,6.38,1
2022-04-08,DET ,MIL,101:131,4.98,1.2,0
2022-04-08,WAS ,NYK,92:114,2.37,1.63,0
2022-04-07,GSW ,LAL,128:112,1.09,8.46,1
2022-04-07,DEN ,MEM,122:109,1.56,2.53,1
2022-04-07,MIN ,SAS,127:121,1.35,3.33,1
2022-04-07,NOP ,POR,127:94,1.05,11.72,1
2022-04-07,MIL ,BOS,127:121,1.28,3.93,1
2022-04-07,TOR ,PHI,119:114,2.33,1.65,1
2022-04-07,CHA ,ORL,128:101,1.08,8.71,1
2022-04-06,LAC ,PHX,113:109,1.33,3.45,1
2022-04-06,UTA ,OKC,137:101,1.08,9.16,1
2022-04-06,ATL ,WAS,118:103,1.19,5.16,1
2022-04-06,CHI ,BOS,94:117,3.54,1.33,0
2022-04-06,NYK ,BKN,98:110,3.33,1.36,0
2022-04-06,DET ,DAL,113:131,4.23,1.25,0
2022-04-05,PHX ,LAL,121:110,1.12,6.96,1
2022-04-05,SAC ,NOP,109:123,3.67,1.31,0
2022-04-05,DEN ,SAS,97:116,1.26,4.12,0
2022-04-05,UTA ,MEM,121:115 ,1.41,3.04,1
2022-04-05,CHI ,MIL,106:127,3.21,1.38,0
2022-04-05,MIN ,WAS,114:132,1.14,6.36,0
2022-04-05,OKC ,POR,98:94,1.62,2.38,1
2022-04-05,BKN ,HOU,118:105,1.05,11.55,1
2022-04-05,MIA ,CHA,144:115,1.54,2.59,1
2022-04-05,TOR ,ATL,118:108,1.56,2.54,1
2022-04-05,IND ,PHI,122:131,5.96,1.15,0
2022-04-05,ORL ,CLE,120:115,3.79,1.29,1
2022-04-03,LAC ,NOP,119:100,1.78,2.11,1
2022-04-03,SAC ,GSW,90:109,2.61,1.53,0
2022-04-03,HOU ,MIN,132:139,7.81,1.1,0
2022-04-03,OKC ,PHX,117:96,9.27,1.08,1
2022-04-03,SAS ,POR,113:92,1.09,8.31,1
