,index,Results,GAME_DATE,HOME,AWAY,Odds1,Odds2,Score,prediction
0,8985,1.0,2017-03-11,LAC,PHI,1.06,11.06,112:100,0.7593377828598022
1,7320,1.0,2015-12-10,CHI,LAC,2.03,1.84,83:80,0.47008809447288513
2,1662,0.0,2010-02-18,CLE,DEN,1.33,3.44,116:118 ,0.7573084831237793
3,2694,0.0,2011-02-10,BOS,LAL,1.74,2.14,86:92,0.5855591297149658
4,3665,1.0,2012-03-23,ATL,BKN,1.31,3.58,93:84,0.5695022940635681
5,1122,0.0,2009-12-02,BKN,DAL,3.56,1.31,101:117,0.3278701901435852
6,9216,0.0,2017-04-10,GSW,UTA,1.17,5.42,99:105,0.7590703964233398
7,12217,1.0,2020-08-04,MIA,BOS,2.67,1.51,112:106,0.525788426399231
8,9072,0.0,2017-03-22,ORL,CHA,2.64,1.53,102:109,0.4114486873149872
9,4568,1.0,2013-02-13,LAC,HOU,1.15,5.83,106:96,0.5789867043495178
10,13133,1.0,2021-05-10,MEM,NOP,1.22,4.63,115:110,0.4879046380519867
11,10459,0.0,2018-11-28,BKN,UTA,2.35,1.63,91:101,0.6959561109542847
12,10868,1.0,2019-01-23,UTA,DEN,1.56,2.54,114:108,0.6961098909378052
13,9608,0.0,2017-12-29,SAC,PHX,1.69,2.26,101:111,0.5228646397590637
14,5313,0.0,2013-12-30,LAC,PHX,1.27,3.99,88:107,0.7155665755271912
15,5917,1.0,2014-03-25,ORL,POR,3.19,1.38,95:85,0.4905056655406952
16,10685,0.0,2018-12-29,PHX,DEN,2.62,1.53,118:122,0.40474236011505127
17,3777,1.0,2012-04-05,CHI,BOS,1.33,3.39,93:86,0.5751129388809204
18,5749,1.0,2014-03-03,DET,NYK,1.57,2.5,96:85,0.533955991268158
19,7271,0.0,2015-12-03,TOR,DEN,1.18,5.33,105:106,0.803997278213501
20,7812,0.0,2016-02-20,MIN,NYK,1.7,2.24,95:103,0.6672534942626953
21,8585,1.0,2017-01-03,PHX,MIA,1.48,2.78,99:90,0.48930811882019043
22,9993,1.0,2018-02-28,ATL,IND,2.62,1.53,107:102,0.4702015519142151
23,11269,1.0,2019-03-26,TOR,CHI,1.06,10.61,112:103,0.8323559761047363
24,9879,0.0,2018-02-06,BKN,HOU,6.07,1.15,113:123,0.35718846321105957
25,5133,1.0,2013-12-04,POR,OKC,1.76,2.13,111:104,0.6304270029067993
26,8655,0.0,2017-01-13,POR,ORL,1.33,3.53,109:115,0.7314322590827942
27,11311,1.0,2019-04-01,PHX,CLE,1.81,2.06,122:113,0.5679100751876831
28,5508,0.0,2014-01-25,PHI,OKC,4.48,1.23,91:103,0.2949378192424774
29,4109,1.0,2012-12-13,ATL,CHA,1.15,5.72,113:90,0.8456512689590454
30,9188,1.0,2017-04-06,POR,MIN,1.45,2.89,105:98,0.6547451019287109
31,12964,0.0,2021-04-19,IND,SAS,2.36,1.63,94:109,0.3405042290687561
32,3450,1.0,2012-02-21,MIA,SAC,1.05,10.94,120:108,0.9003447890281677
33,3313,1.0,2012-02-04,MIN,HOU,1.82,2,100:91,0.4940016269683838
34,2187,0.0,2010-12-01,BKN,OKC,2.86,1.43,120:123 ,0.4362505078315735
35,8689,1.0,2017-01-18,HOU,MIL,1.37,3.28,111:92,0.7602331042289734
36,11516,1.0,2019-12-02,ATL,GSW,1.38,3.15,104:79,0.45053547620773315
37,107,1.0,2008-12-04,DAL,PHX,1.53,2.45,112:97,0.4800713062286377
38,5748,0.0,2014-03-03,DEN,MIN,2.95,1.43,128:132,0.38964882493019104
39,7720,1.0,2016-02-02,LAL,MIN,2.58,1.55,119:115,0.41764524579048157
40,6006,1.0,2014-04-06,GSW,UTA,1.11,7.56,130:102,0.825809121131897
41,12299,1.0,2021-01-16,BKN,ORL,1.23,4.4,122:115,0.7849431037902832
42,13850,1.0,2022-02-10,PHX,MIL,1.67,2.3,131:107,0.5350905060768127
43,3154,1.0,2012-01-14,MEM,NOP,1.12,6.58,108:99,0.6876006722450256
44,1260,1.0,2009-12-20,TOR,NOP,1.82,1.99,98:92,0.6888527870178223
45,6829,0.0,2015-03-04,MIN,DEN,1.34,3.4,85:100,0.5816969275474548
46,3662,1.0,2012-03-22,POR,MEM,1.96,1.85,97:93,0.5766933560371399
47,9379,0.0,2017-11-28,CHI,PHX,1.87,1.99,99:104,0.47673606872558594
48,11135,1.0,2019-03-08,MEM,UTA,2.72,1.49,114:104,0.39194363355636597
49,7501,0.0,2016-01-04,BKN,BOS,3.63,1.31,94:103,0.31538596749305725
50,3580,0.0,2012-03-12,NOP,CHA,1.35,3.29,71:73,0.7438428401947021
51,11696,1.0,2019-12-28,CHI,ATL,1.2,4.92,116:81,0.8251301050186157
52,4549,0.0,2013-02-11,CHI,SAS,1.61,2.4,89:103,0.47169628739356995
53,10013,0.0,2018-03-02,PHX,OKC,3.91,1.28,116:124,0.35624516010284424
54,1203,0.0,2009-12-13,OKC,CLE,2.43,1.59,89:102,0.49189481139183044
55,10166,1.0,2018-03-23,SAS,UTA,1.64,2.38,124:120 ,0.4696280062198639
56,11093,0.0,2019-03-02,PHI,GSW,2.74,1.48,117:120,0.39303240180015564
57,4478,1.0,2013-02-01,PHI,SAC,1.38,3.21,89:80,0.7143521904945374
58,4187,1.0,2012-12-23,NYK,MIN,1.25,4.16,94:91,0.7222931981086731
59,12986,1.0,2021-04-21,WAS,GSW,2.09,1.78,118:114,0.46192947030067444
60,3561,1.0,2012-03-10,CHI,UTA,1.12,6.58,111:97,0.8350603580474854
61,12908,1.0,2021-04-12,NOP,SAC,1.77,2.12,117:110,0.6509619355201721
62,5556,1.0,2014-02-01,HOU,CLE,1.12,7.12,106:92,0.7466433048248291
63,567,0.0,2009-02-10,BKN,SAS,2.95,1.41,93:108,0.6280896663665771
64,5387,1.0,2014-01-09,DEN,OKC,2.32,1.65,101:88,0.3012264668941498
65,5573,0.0,2014-02-03,NOP,SAS,2.4,1.61,95:102,0.37906211614608765
66,351,1.0,2009-01-09,PHX,DAL,1.32,3.35,128:100,0.6299294233322144
67,7897,1.0,2016-03-02,TOR,UTA,1.45,2.88,104:94,0.7696789503097534
68,7004,0.0,2015-03-27,MEM,GSW,2.37,1.63,84:107,0.40762895345687866
69,5567,1.0,2014-02-03,BKN,PHI,1.21,4.76,108:102,0.7846285700798035
70,13447,1.0,2021-12-16,BKN,PHI,2.17,1.74,114:105,0.6812022924423218
71,6499,0.0,2015-01-13,UTA,GSW,4.1,1.26,105:116,0.43856221437454224
72,10837,1.0,2019-01-19,IND,DAL,1.31,3.63,111:99,0.7132307291030884
73,1562,1.0,2010-01-31,OKC,GSW,1.23,4.37,112:104,0.693969190120697
74,574,0.0,2009-02-10,MIN,TOR,2.21,1.68,102:110,0.5083830952644348
75,3295,0.0,2012-02-02,NYK,CHI,2.43,1.59,102:105,0.47601643204689026
76,12669,0.0,2021-03-13,OKC,NYK,2.56,1.54,97:119,0.49325457215309143
77,9151,1.0,2017-04-02,BKN,ATL,2.35,1.63,91:82,0.7008098363876343
78,11252,1.0,2019-03-24,MIL,CLE,1.07,9.4,127:105,0.8416314125061035
79,11517,0.0,2019-12-02,CHA,PHX,2.44,1.59,104:109,0.4704344868659973
80,873,1.0,2009-03-26,POR,PHX,1.36,3.28,129:109,0.6496285200119019
81,8058,1.0,2016-03-24,BKN,CLE,5.21,1.18,104:95,0.39550644159317017
82,3912,1.0,2012-04-21,MEM,POR,1.09,8.07,93:89,0.7177178859710693
83,6212,0.0,2014-12-05,TOR,CLE,1.53,2.61,91:105,0.7354049682617188
84,760,0.0,2009-03-11,HOU,LAL,1.59,2.41,96:102,0.6993744373321533
85,13076,0.0,2021-05-03,DET,ORL,1.8,2.06,112:119,0.6634604930877686
86,8922,1.0,2017-03-03,MIL,LAC,2.87,1.45,112:101,0.5295091271400452
87,10924,1.0,2019-02-01,DEN,HOU,1.64,2.35,136:122,0.6227297186851501
